Time period;Average power, day;Average power, night;Average power;Temperature
17.1. 15:00:00;2,580;;2,580;
17.1. 16:00:00;2,110;;2,110;
17.1. 17:00:00;1,960;;1,960;
17.1. 18:00:00;2,860;;2,860;
17.1. 19:00:00;3,770;;3,770;
17.1. 20:00:00;3,400;;3,400;
17.1. 21:00:00;2,400;;2,400;
17.1. 22:00:00;;3,130;3,130;
17.1. 23:00:00;;5,670;5,670;
18.1. 00:00:00;;4,650;4,650;-0,4
18.1. 01:00:00;;3,070;3,070;
18.1. 02:00:00;;2,650;2,650;
18.1. 03:00:00;;3,310;3,310;
18.1. 04:00:00;;4,250;4,250;
18.1. 05:00:00;;4,670;4,670;
18.1. 06:00:00;;5,240;5,240;
18.1. 07:00:00;2,850;;2,850;
18.1. 08:00:00;2,160;;2,160;
18.1. 09:00:00;1,860;;1,860;
18.1. 10:00:00;1,500;;1,500;
18.1. 11:00:00;1,480;;1,480;
18.1. 12:00:00;1,960;;1,960;
18.1. 13:00:00;2,890;;2,890;
18.1. 14:00:00;2,310;;2,310;
18.1. 15:00:00;1,970;;1,970;
18.1. 16:00:00;1,840;;1,840;
18.1. 17:00:00;3,290;;3,290;
18.1. 18:00:00;2,940;;2,940;
18.1. 19:00:00;3,550;;3,550;
18.1. 20:00:00;2,950;;2,950;
18.1. 21:00:00;1,860;;1,860;
18.1. 22:00:00;;3,380;3,380;
18.1. 23:00:00;;4,110;4,110;
19.1. 00:00:00;;2,890;2,890;1,2
19.1. 01:00:00;;2,800;2,800;
19.1. 02:00:00;;2,390;2,390;
19.1. 03:00:00;;3,180;3,180;
19.1. 04:00:00;;2,210;2,210;
19.1. 05:00:00;;1,840;1,840;
19.1. 06:00:00;;2,350;2,350;
19.1. 07:00:00;2,070;;2,070;
19.1. 08:00:00;3,240;;3,240;
19.1. 09:00:00;2,680;;2,680;
19.1. 10:00:00;2,110;;2,110;
19.1. 11:00:00;1,530;;1,530;
19.1. 12:00:00;1,690;;1,690;
19.1. 13:00:00;2,220;;2,220;
19.1. 14:00:00;1,680;;1,680;
19.1. 15:00:00;1,460;;1,460;
19.1. 16:00:00;1,690;;1,690;
19.1. 17:00:00;1,710;;1,710;
19.1. 18:00:00;2,630;;2,630;
19.1. 19:00:00;2,290;;2,290;
19.1. 20:00:00;3,370;;3,370;
19.1. 21:00:00;2,180;;2,180;
19.1. 22:00:00;;3,340;3,340;
19.1. 23:00:00;;5,110;5,110;
20.1. 00:00:00;;2,790;2,790;-2
20.1. 01:00:00;;2,640;2,640;
20.1. 02:00:00;;2,270;2,270;
20.1. 03:00:00;;3,170;3,170;
20.1. 04:00:00;;2,500;2,500;
20.1. 05:00:00;;2,770;2,770;
20.1. 06:00:00;;2,090;2,090;
20.1. 07:00:00;3,530;;3,530;
20.1. 08:00:00;3,290;;3,290;
20.1. 09:00:00;2,730;;2,730;
20.1. 10:00:00;2,240;;2,240;
20.1. 11:00:00;2,300;;2,300;
20.1. 12:00:00;2,490;;2,490;
20.1. 13:00:00;4,480;;4,480;
20.1. 14:00:00;3,840;;3,840;
20.1. 15:00:00;2,400;;2,400;
20.1. 16:00:00;1,620;;1,620;
20.1. 17:00:00;1,770;;1,770;
20.1. 18:00:00;2,300;;2,300;
20.1. 19:00:00;2,050;;2,050;
20.1. 20:00:00;1,700;;1,700;
20.1. 21:00:00;1,790;;1,790;
20.1. 22:00:00;;3,760;3,760;
20.1. 23:00:00;;6,170;6,170;
21.1. 00:00:00;;4,060;4,060;-3,8
21.1. 01:00:00;;2,870;2,870;
21.1. 02:00:00;;2,560;2,560;
21.1. 03:00:00;;3,480;3,480;
21.1. 04:00:00;;2,900;2,900;
21.1. 05:00:00;;1,970;1,970;
21.1. 06:00:00;;1,920;1,920;
21.1. 07:00:00;2,810;;2,810;
21.1. 08:00:00;2,980;;2,980;
21.1. 09:00:00;2,810;;2,810;
21.1. 10:00:00;1,890;;1,890;
21.1. 11:00:00;3,860;;3,860;
21.1. 12:00:00;2,410;;2,410;
21.1. 13:00:00;2,370;;2,370;
21.1. 14:00:00;3,790;;3,790;
21.1. 15:00:00;2,900;;2,900;
21.1. 16:00:00;2,770;;2,770;
21.1. 17:00:00;4,700;;4,700;
21.1. 18:00:00;7,320;;7,320;
21.1. 19:00:00;7,580;;7,580;
21.1. 20:00:00;2,830;;2,830;
21.1. 21:00:00;2,410;;2,410;
21.1. 22:00:00;;3,790;3,790;
21.1. 23:00:00;;6,110;6,110;
22.1. 00:00:00;;4,730;4,730;0,8
22.1. 01:00:00;;3,900;3,900;
22.1. 02:00:00;;3,070;3,070;
22.1. 03:00:00;;3,180;3,180;
22.1. 04:00:00;;3,100;3,100;
22.1. 05:00:00;;2,750;2,750;
22.1. 06:00:00;;2,950;2,950;
22.1. 07:00:00;3,100;;3,100;
22.1. 08:00:00;2,720;;2,720;
22.1. 09:00:00;3,260;;3,260;
22.1. 10:00:00;3,360;;3,360;
22.1. 11:00:00;3,020;;3,020;
22.1. 12:00:00;4,200;;4,200;
22.1. 13:00:00;3,750;;3,750;
22.1. 14:00:00;2,610;;2,610;
22.1. 15:00:00;2,050;;2,050;
22.1. 16:00:00;1,660;;1,660;
22.1. 17:00:00;2,240;;2,240;
22.1. 18:00:00;2,470;;2,470;
22.1. 19:00:00;2,750;;2,750;
22.1. 20:00:00;2,320;;2,320;
22.1. 21:00:00;2,190;;2,190;
22.1. 22:00:00;;2,640;2,640;
22.1. 23:00:00;;3,570;3,570;
23.1. 00:00:00;;2,510;2,510;-0,2
23.1. 01:00:00;;2,580;2,580;
23.1. 02:00:00;;3,660;3,660;
23.1. 03:00:00;;2,960;2,960;
23.1. 04:00:00;;2,430;2,430;
23.1. 05:00:00;;3,620;3,620;
23.1. 06:00:00;;4,900;4,900;
23.1. 07:00:00;3,200;;3,200;
23.1. 08:00:00;2,230;;2,230;
23.1. 09:00:00;1,780;;1,780;
23.1. 10:00:00;1,590;;1,590;
23.1. 11:00:00;1,840;;1,840;
23.1. 12:00:00;2,180;;2,180;
23.1. 13:00:00;2,020;;2,020;
23.1. 14:00:00;2,840;;2,840;
23.1. 15:00:00;3,170;;3,170;
23.1. 16:00:00;3,300;;3,300;
23.1. 17:00:00;2,720;;2,720;
23.1. 18:00:00;2,160;;2,160;
23.1. 19:00:00;2,980;;2,980;
23.1. 20:00:00;2,210;;2,210;
23.1. 21:00:00;3,160;;3,160;
23.1. 22:00:00;;2,690;2,690;
23.1. 23:00:00;;2,940;2,940;
24.1. 00:00:00;;2,970;2,970;-5,3
24.1. 01:00:00;;2,880;2,880;
24.1. 02:00:00;;3,680;3,680;
24.1. 03:00:00;;3,370;3,370;
24.1. 04:00:00;;2,040;2,040;
24.1. 05:00:00;;1,780;1,780;
24.1. 06:00:00;;2,170;2,170;
24.1. 07:00:00;3,460;;3,460;
24.1. 08:00:00;2,150;;2,150;
24.1. 09:00:00;2,040;;2,040;
24.1. 10:00:00;2,240;;2,240;
24.1. 11:00:00;2,450;;2,450;
24.1. 12:00:00;2,450;;2,450;
24.1. 13:00:00;1,690;;1,690;
24.1. 14:00:00;1,700;;1,700;
24.1. 15:00:00;1,900;;1,900;
24.1. 16:00:00;2,130;;2,130;
24.1. 17:00:00;2,390;;2,390;
24.1. 18:00:00;2,000;;2,000;
24.1. 19:00:00;2,980;;2,980;
24.1. 20:00:00;3,460;;3,460;
24.1. 21:00:00;3,770;;3,770;
24.1. 22:00:00;;3,610;3,610;
24.1. 23:00:00;;5,820;5,820;
25.1. 00:00:00;;4,460;4,460;-6,3
25.1. 01:00:00;;4,050;4,050;
25.1. 02:00:00;;2,610;2,610;
25.1. 03:00:00;;2,720;2,720;
25.1. 04:00:00;;3,070;3,070;
25.1. 05:00:00;;3,860;3,860;
