Time period;Average power, day;Average power, night;Average power;Temperature
19.1. 07:00:00;3,510;;3,510;
19.1. 08:00:00;3,230;;3,230;
19.1. 09:00:00;3,950;;3,950;
19.1. 10:00:00;4,350;;4,350;
19.1. 11:00:00;3,310;;3,310;
19.1. 12:00:00;2,680;;2,680;
19.1. 13:00:00;2,560;;2,560;
19.1. 14:00:00;2,920;;2,920;
19.1. 15:00:00;3,110;;3,110;
19.1. 16:00:00;3,610;;3,610;
19.1. 17:00:00;5,010;;5,010;
19.1. 18:00:00;4,030;;4,030;
19.1. 19:00:00;3,860;;3,860;
19.1. 20:00:00;3,350;;3,350;
19.1. 21:00:00;3,580;;3,580;
19.1. 22:00:00;;7,020;7,020;
19.1. 23:00:00;;7,560;7,560;
20.1. 00:00:00;;5,480;5,480;-21,8
20.1. 01:00:00;;5,710;5,710;
20.1. 02:00:00;;5,650;5,650;
20.1. 03:00:00;;6,310;6,310;
20.1. 04:00:00;;4,910;4,910;
20.1. 05:00:00;;4,040;4,040;
20.1. 06:00:00;;4,820;4,820;
20.1. 07:00:00;5,050;;5,050;
20.1. 08:00:00;4,680;;4,680;
20.1. 09:00:00;3,850;;3,850;
20.1. 10:00:00;3,280;;3,280;
20.1. 11:00:00;4,340;;4,340;
20.1. 12:00:00;4,420;;4,420;
20.1. 13:00:00;4,330;;4,330;
20.1. 14:00:00;5,060;;5,060;
20.1. 15:00:00;5,890;;5,890;
20.1. 16:00:00;3,850;;3,850;
20.1. 17:00:00;3,430;;3,430;
20.1. 18:00:00;3,130;;3,130;
20.1. 19:00:00;4,150;;4,150;
20.1. 20:00:00;5,020;;5,020;
20.1. 21:00:00;5,010;;5,010;
20.1. 22:00:00;;7,250;7,250;
20.1. 23:00:00;;7,320;7,320;
21.1. 00:00:00;;6,680;6,680;-20,5
21.1. 01:00:00;;6,480;6,480;
21.1. 02:00:00;;5,620;5,620;
21.1. 03:00:00;;6,280;6,280;
21.1. 04:00:00;;6,940;6,940;
21.1. 05:00:00;;6,260;6,260;
21.1. 06:00:00;;4,800;4,800;
21.1. 07:00:00;3,490;;3,490;
21.1. 08:00:00;3,460;;3,460;
21.1. 09:00:00;3,520;;3,520;
21.1. 10:00:00;2,900;;2,900;
21.1. 11:00:00;3,140;;3,140;
21.1. 12:00:00;3,450;;3,450;
21.1. 13:00:00;4,160;;4,160;
21.1. 14:00:00;3,910;;3,910;
21.1. 15:00:00;3,500;;3,500;
21.1. 16:00:00;3,630;;3,630;
